Time;Angle;RSSI
0.33; 1.19695; -58.00
0.44; 1.19178; -54.00
0.54; 1.19283; -54.00
0.64; 1.19636; -57.00
0.74; 1.19479; -53.00
0.84; 1.19710; -53.00
1.15; 1.20103; -54.00
1.25; 1.19949; -58.00
1.45; 1.19811; -54.00
1.66; 1.20084; -54.00
1.76; 1.19770; -54.00
1.86; 1.19017; -54.00
1.96; 1.17265; -54.00
2.06; 1.14507; -55.00
2.16; 1.10206; -55.00
2.26; 1.04573; -58.00
2.36; 0.98546; -56.00
2.46; 0.91815; -59.00
2.57; 0.83034; -59.00
2.66; 0.75437; -61.00
2.86; 0.55426; -73.00
2.97; 0.44247; -77.00
3.07; 0.33952; -61.00
3.17; 0.23868; -59.00
3.37; 0.04673; -68.00
3.47; -0.04136; -63.00
3.58; -0.13008; -57.00
3.68; -0.21632; -58.00
3.99; -0.46683; -62.00
4.19; -0.62844; -57.00
4.30; -0.71624; -56.00
4.40; -0.79434; -52.00
4.50; -0.86752; -61.00
4.60; -0.94928; -54.00
4.70; -1.02602; -54.00
4.80; -1.10507; -57.00
5.01; -1.28121; -56.00
5.11; -1.37098; -70.00
5.21; -1.46645; -67.00
5.31; -1.57639; -65.00
5.42; -1.69043; -69.00
5.62; -1.90690; -63.00
5.72; -2.01115; -66.00
5.82; -2.11150; -63.00
5.92; -2.21006; -73.00


6.12; -2.40758; -75.00
6.33; -2.60632; -63.00
6.43; -2.69919; -62.00
6.64; -2.87597; -63.00
6.74; -2.96002; -65.00
6.84; -3.05697; -73.00
7.04; 3.03142; -70.00
7.14; 2.94704; -68.00
7.25; 2.85609; -66.00
7.45; 2.68901; -72.00
7.65; 2.52648; -70.00
7.76; 2.42551; -70.00
7.86; 2.32106; -64.00
7.96; 2.20815; -61.00
8.06; 2.08873; -63.00
8.17; 1.97734; -61.00
8.27; 1.86614; -64.00
8.47; 1.66638; -55.00
8.58; 1.54910; -60.00
8.68; 1.46766; -56.00
8.78; 1.37773; -55.00
9.08; 1.13439; -53.00
9.18; 1.05601; -54.00
9.29; 0.98045; -55.00
9.39; 0.90875; -59.00
9.70; 0.68651; -57.00
9.80; 0.61149; -55.00
9.91; 0.54606; -61.00
10.01; 0.47016; -57.00
10.21; 0.31851; -60.00
10.42; 0.15399; -62.00
10.52; 0.06852; -64.00
10.62; -0.01459; -64.00
10.83; -0.19522; -55.00
10.92; -0.27432; -56.00
11.13; -0.40807; -55.00
11.43; -0.53994; -57.00
11.54; -0.55890; -58.00
11.64; -0.55836; -59.00
11.73; -0.56161; -55.00
11.84; -0.56950; -58.00
11.94; -0.57028; -58.00
12.04; -0.57171; -53.00
12.15; -0.58285; -59.00
12.25; -0.60884; -61.00
12.56; -0.84185; -57.00
12.86; -1.17882; -59.00
13.16; -1.52804; -67.00
13.26; -1.66679; -62.00
13.36; -1.81093; -63.00
13.68; -2.20850; -65.00
13.87; -2.45868; -71.00
13.98; -2.59090; -63.00
14.08; -2.70900; -59.00
14.18; -2.84114; -64.00
14.39; -3.08028; -71.00
14.59; 2.94388; -68.00
14.70; 2.81866; -65.00
14.80; 2.69128; -75.00
14.90; 2.56323; -70.00
15.00; 2.43499; -67.00
15.10; 2.29873; -58.00
15.21; 2.16895; -58.00
15.31; 2.05092; -67.00
15.41; 1.94310; -67.00
15.51; 1.83144; -59.00
15.71; 1.62348; -56.00
15.81; 1.52289; -58.00
16.01; 1.32256; -59.00
16.11; 1.22503; -63.00
16.42; 0.95976; -56.00
16.71; 0.70978; -55.00
16.82; 0.62300; -56.00
16.92; 0.54042; -72.00
17.02; 0.45615; -57.00
17.13; 0.36477; -57.00
17.22; 0.28855; -72.00
17.43; 0.13180; -63.00
17.53; 0.05493; -65.00
17.73; -0.10021; -57.00
17.84; -0.17339; -59.00
17.94; -0.23806; -57.00
18.04; -0.30532; -56.00
18.14; -0.37488; -56.00
18.25; -0.44020; -58.00
18.35; -0.49707; -58.00
18.55; -0.60858; -55.00
18.66; -0.67431; -55.00
18.76; -0.73471; -51.00
18.96; -0.86567; -53.00
19.06; -0.95287; -54.00
19.26; -1.18210; -60.00
19.36; -1.32091; -59.00
19.46; -1.47449; -59.00
19.66; -1.82759; -71.00
19.87; -2.17157; -65.00
19.97; -2.33720; -65.00
20.07; -2.49134; -64.00
20.28; -2.80575; -67.00
20.38; -2.95559; -68.00
20.48; -3.08450; -68.00
20.58; 3.07996; -62.00
20.69; 2.96170; -78.00
20.79; 2.85392; -65.00
20.99; 2.65415; -64.00
21.09; 2.54989; -62.00
21.19; 2.44422; -67.00
21.29; 2.32657; -67.00
21.40; 2.20247; -57.00
21.60; 1.97303; -61.00
21.90; 1.67316; -59.00
22.00; 1.58581; -56.00
22.21; 1.40939; -53.00
22.31; 1.33044; -59.00
22.52; 1.18473; -58.00
22.62; 1.12477; -59.00
22.72; 1.07312; -57.00
